symbol,year,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
USDJPY,2025,24,45,0.5111111111111111,0.4888888888888889,0.0,-0.029068001665443013,0.008435200089975788,0.4814590500385888,-0.4574005886325056,0.008435200089975788,0.30162838567673916,0.5111111111111111,0.4888888888888889,0.5111111111111111,-0.4050065796175071,0.3700422432648975,0.6504321064697549,UNVERIFIED_PYTHON_APPROXIMATION,borderline
USDJPY,2025,168,44,0.6590909090909091,0.3409090909090909,0.0,0.38243713436714155,0.5280287369688601,1.2124261825585523,-0.316843435261729,0.5280287369688601,0.8729972772524649,0.6590909090909091,0.3409090909090909,0.6590909090909091,2.0923343603779117,0.5113886797193951,0.7812436737136005,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
USDJPY,2025,336,43,0.5581395348837209,0.4418604651162791,0.0,0.42862845740537925,0.40086553666047314,1.694468698331628,-0.792017455922567,0.40086553666047314,1.5976729472999645,0.5581395348837209,0.4418604651162791,0.5581395348837209,1.658752836195552,0.4110735806551171,0.6956691437607867,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,2022,24,57,0.543859649122807,0.45614035087719296,0.0,0.2519317658981938,0.24285154719936392,1.8460843029723046,-0.8695243466817011,0.24285154719936392,1.304250056217671,0.543859649122807,0.45614035087719296,0.543859649122807,1.030312168547423,0.41590460831272247,0.6662760049518861,UNVERIFIED_PYTHON_APPROXIMATION,usable
XAGUSD,2022,168,57,0.543859649122807,0.45614035087719296,0.0,0.4907181676312079,0.3503025340066338,4.108512540803595,-2.4778487533484346,0.3503025340066338,3.239750251058817,0.543859649122807,0.45614035087719296,0.543859649122807,0.9017475018514651,0.41590460831272247,0.6662760049518861,UNVERIFIED_PYTHON_APPROXIMATION,usable
XAGUSD,2022,336,57,0.47368421052631576,0.5263157894736842,0.0,0.4704724086510687,-0.31000305636815245,6.096815865730738,-2.767205020059666,-0.31000305636815245,4.917766497461923,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5825973540785104,0.3498695765634663,0.6008220554777685,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
XAGUSD,2023,24,50,0.44,0.56,0.0,-0.5358409703486886,-0.23823200867374072,1.746880370895306,-1.406044394589816,-0.23823200867374072,0.6318297612829463,0.44,0.56,0.44,-2.168991020128908,0.3116198721023534,0.5769421319985648,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
XAGUSD,2023,168,50,0.46,0.54,0.0,-0.6457029221582232,-0.7869847342217544,3.7730648721060467,-2.9436576345534675,-0.7869847342217544,1.9252762437268196,0.46,0.54,0.46,-1.2101061878514565,0.3296943460178263,0.5960136567161192,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
XAGUSD,2023,336,50,0.38,0.62,0.0,-0.6119602465231511,-1.1275054958312714,4.967374185003264,-3.9656582226546044,-1.1275054958312714,2.3539430175443825,0.38,0.62,0.38,-0.8711267241342866,0.2586259584257722,0.5184980497760643,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
XAGUSD,2024,24,44,0.6136363636363636,0.38636363636363635,0.0,0.3389758240674034,0.2604103233922918,1.5597859135475376,-0.5390389967201745,0.2604103233922918,1.2470957923442867,0.6136363636363636,0.38636363636363635,0.6136363636363636,1.44155119195316,0.46623309846201666,0.7427900111329802,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,2024,168,44,0.5909090909090909,0.4090909090909091,0.0,0.5779611198140533,1.1475372012784784,3.0418090048796596,-1.738747866685747,1.1475372012784784,2.9418441703131446,0.5909090909090909,0.4090909090909091,0.5909090909090909,1.2603553837613104,0.44409492646606574,0.7231235612099317,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,2024,336,44,0.6136363636363636,0.38636363636363635,0.0,1.3656082552319262,1.1732985913562801,5.219295505245538,-1.625470881633396,1.1732985913562801,3.882307512047904,0.6136363636363636,0.38636363636363635,0.6136363636363636,1.735563808818339,0.46623309846201666,0.7427900111329802,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,2025,24,27,0.4444444444444444,0.5555555555555556,0.0,-0.3272481947514501,-0.04941220069589037,2.025588905577184,-0.9011798350932563,-0.04941220069589037,0.7079649520040554,0.4444444444444444,0.5555555555555556,0.4444444444444444,-0.839475125136306,0.27585597670072837,0.6268728052042312,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
XAGUSD,2025,168,27,0.8148148148148148,0.18518518518518517,0.0,2.2309238703545295,2.5918496621621605,2.8540035180216328,0.29630085559112335,2.5918496621621605,3.8612413511509027,0.8148148148148148,0.18518518518518517,0.8148148148148148,4.061740078671087,0.6330094349480826,0.9181941342571467,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,2025,336,27,0.7037037037037037,0.2962962962962963,0.0,3.1957774451135634,2.5961720674625823,5.159050871230583,-0.21823372393546592,2.5961720674625823,6.565435644364785,0.7037037037037037,0.2962962962962963,0.7037037037037037,3.218760025503897,0.515189666191624,0.8414714668235244,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,2022,24,49,0.5306122448979592,0.46938775510204084,0.0,0.08774428488529838,0.02548082208530191,0.8345905296158832,-0.4017493288762235,0.02548082208530191,0.779087290537111,0.5306122448979592,0.46938775510204084,0.5306122448979592,0.7359417251952,0.39380627019919845,0.6629671810210522,UNVERIFIED_PYTHON_APPROXIMATION,usable
XAUUSD,2022,168,49,0.6326530612244898,0.3673469387755102,0.0,0.23001894449575244,0.6192468152821808,1.7479566808087807,-1.0048426512244235,0.6192468152821808,1.4594127711303244,0.6326530612244898,0.3673469387755102,0.6326530612244898,0.9211513243710695,0.49266811386889864,0.7533501747521878,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,2022,336,49,0.5306122448979592,0.46938775510204084,0.0,0.24264975934044283,0.41556837880839237,2.7450946723842558,-1.593417400101519,0.41556837880839237,2.3022575794453943,0.5306122448979592,0.46938775510204084,0.5306122448979592,0.6187576452173227,0.39380627019919845,0.6629671810210522,UNVERIFIED_PYTHON_APPROXIMATION,usable
XAUUSD,2023,24,44,0.5227272727272727,0.4772727272727273,0.0,0.1349131014260585,0.05744093654300517,1.197203009680068,-0.37802419438068335,0.05744093654300517,0.5070121221429471,0.5227272727272727,0.4772727272727273,0.5227272727272727,0.7475025256626661,0.379352201361717,0.6624524205572824,UNVERIFIED_PYTHON_APPROXIMATION,usable
